教師,作者,論文名稱,會議名稱,地點
涂嘉恒,"Yu Tsung Wu, Po Hsuan Huang, Chia Heng Tu, Shih Hao Hung",A Profiling Guided Optimization Scheme for Accelerating Quantum Simulations,"2023 International Conference on Consumer Electronics - Taiwan, ICCE-Taiwan 2023",Taiwan
涂嘉恒,"Tsung Yen Wang, Shao Hua Wang, Chia Heng Tu, Wen Yew Liang",CAT: Context Aware Tracing for Rust Asynchronous Programs,"38th Annual ACM Symposium on Applied Computing, SAC 2023",Estonia
涂嘉恒,"Hao Jan Huang, Wen Sheng Lim, Chia Heng Tu, Chun Feng Wu, Yuan Hao Chang",Data Freshness Optimization on Networked Intermittent Systems,"2023 Design, Automation and Test in Europe Conference and Exhibition, DATE 2023",Belgium
涂嘉恒,"Qi Hui Sun, Mei Lan Lin, Chia Heng Tu",Designing Multi-Class Classifiers for Sub-mA Microcontroller Platforms,"2023 International Conference on Consumer Electronics - Taiwan, ICCE-Taiwan 2023",Taiwan
涂嘉恒,"Qi Hui Sun, Chia Heng Tu",Energy Aware Collaborative Machine Learning on Energy-Harvesting Devices,"2023 International Conference on Consumer Electronics - Taiwan, ICCE-Taiwan 2023",Taiwan
涂嘉恒,"Chia Hsin Hsu, Chuan Chi Wang, Nai Wei Hsu, Chia Heng Tu, Shih Hao Hung",Towards Scalable Quantum Circuit Simulation via RDMA,"2023 Research in Adaptive and Convergent Systems, RACS 2023",Poland
涂嘉恒,"Shu Ting Cheng, Wen Sheng Lim, Chia Heng Tu, Yuan Hao Chang",TRAIN: A Reinforcement Learning Based Timing-Aware Neural Inference on Intermittent Systems,"42nd IEEE/ACM International Conference on Computer-Aided Design, ICCAD 2023",United States
王宏鍇,"Ya Ting Lee, Hung Kai Wang",Mechanical Fault Classification and Root Cause analysis Based on Machine Learning and Explainable AI,"28th ISSAT International Conference on Reliability and Quality in Design, RQD 2023",United States
王宏鍇,"Tang Chia-Chien, Hung Kai Wang",Real-time Vibration Signals Anomaly Detection of Load Motor Based on Deep Learning and One-Class Classification,"28th ISSAT International Conference on Reliability and Quality in Design, RQD 2023",United States
曾繁勛,"Fan Hsun Tseng, Tung Yi Wu, I. Lung Chang, Chia Chen Hsu, Yi Cen Chen",Instant Messaging Application for 5G Core Network,"14th EAI International Conference on Bio-inspired Information and Communications Technologies, BICT 2023",Japan
何建忠,"Liang Chi Chen, Shu Qi Yu, Chien Chung Ho, Wei Chen Wang, Yung Chun Li",Efficient Sanitization Design for LSM-based Key-Value Store over 3D MLC NAND Flash,"38th Annual ACM Symposium on Applied Computing, SAC 2023",Estonia
何建忠,"Wei Chen Wang, Chien Chung Ho, Yuan Hao Chang, Tei Wei Kuo, Yu Ming Chang",Retention Leveling: Leverage Retention Refreshing and Wear Leveling Techniques to Enhance Flash Reliability with the Awareness of Temperature,"12th IEEE Non-Volatile Memory Systems and Applications Symposium, NVMSA 2023",Japan
何建忠,"Liang Chi Chen, Chien Chung Ho, Yuan Hao Chang",UpPipe: A Novel Pipeline Management on In-Memory Processors for RNA-seq Quantification,"60th ACM/IEEE Design Automation Conference, DAC 2023",United States
李信杰,"Kuan Wei Chiu, Shih Sheng Yang, Shin Jie Lee, Wen Tin Lee",An Empirical Evaluation of the Effectiveness of Spider and Proxy Modes for Web Security Testing,"10th International Conference on Dependable Systems and Their Applications, DSA 2023",Japan
李信杰,"Wen Tin Lee, Zhi Yao Yang, Zhun Wei Liu, Shin Jie Lee",Containerized Microservices Deployment Approach based on Ant Colony Optimization,"10th International Conference on Dependable Systems and Their Applications, DSA 2023",Japan
李信杰,"Shang Pin Ma, Yu Yung Yang, Shin Jie Lee, Hang Wei Yeh",UTEMS: A Unit Testing Scheme for Event-driven Microservices,"10th International Conference on Dependable Systems and Their Applications, DSA 2023",Japan
